UF	SF	freq
leɪ	leɪ	144
aɪz	aɪz	144
mɛs	mɛs	144
ɛnd	ɛnd	143
tɔk	tɔk	143
ɔrəndʒ	ɔrəndʒ	143
wɪndoʊ	wɪndoʊ	142
blɑks	blɑks	141
dʒʌmp	dʒʌmp	141
meɪd	meɪd	139
haɪ	haɪ	138
klæp	klæp	137
keɪm	keɪm	137
trʌk	trʌk	137
bip	bip	135
tɔkɪŋ	tɔkɪŋ	135
wɛr	wɛr	134
lʌvz	lʌvz	134
neɪm	neɪm	133
rɪŋ	rɪŋ	131
rʌn	rʌn	130
tɪkəl	tɪkəl	128
kʌpkeɪk	kʌpkeɪk	128
smɛl	smɛl	127
ʃip	ʃip	127
blɛs	blɛs	127
lɛft	lɛft	126
ɛɡ	ɛɡ	126
tʃeɪndʒ	tʃeɪndʒ	126
mætəɹ	mæɾəɹ	124
ɡɪmi	ɡɪmi	123
naɪt	nʌɪt	123
bɪb	bɪb	123
sɑk	sɑk	122
kjut	kjut	122
teɪsti	teɪsti	122
bənænə	bənænə	122
drɪŋk	drɪŋk	122
sɪriəl	sɪriəl	122
di	di	121
laɪt	lʌɪt	121
seɪɪŋ	seɪɪŋ	121
toʊ	toʊ	119
flaʊəɹ	flaʊəɹ	118
tʃɪrioʊs	tʃɪrioʊs	117
flaʊəɹz	flaʊəɹz	116
pʌpi	pʌpi	116
brɛd	brɛd	116
lʌntʃ	lʌntʃ	115
hæŋ	hæŋ	115
səɹkəl	səɹkəl	115
dɪnəɹ	dɪnəɹ	114
tʌtʃ	tʌtʃ	114
stɪk	stɪk	113
θɔt	θɔt	113
rɪmɛmbəɹ	rɪmɛmbəɹ	112
dɪr	dɪr	112
æpəlsɔs	æpəlsɔs	112
tʊk	tʊk	112
nænə	nænə	112
meɪl	meɪl	112
mɛni	mɛni	111
toʊld	toʊld	110
bæɡ	bæɡ	110
fʌn	fʌn	110
jus	jus	109
æpəl	æpəl	109
bæskət	bæskət	109
ɛls	ɛls	108
saɪd	saɪd	108
spaɪdəɹ	spaɪdəɹ	107
si	si	107
bieɪeɪ	bieɪeɪ	107
mæd	mæd	106
kɪsəz	kɪsəz	106
sɔŋ	sɔŋ	106
bəɹθdeɪ	bəɹθdeɪ	106
wɔk	wɔk	106
sɪtɪŋ	sɪɾɪŋ	105
ɡreɪt	ɡreɪt	105
nʌmbəɹ	nʌmbəɹ	105
